"t" "p" "padj"
"1552370_at" -6.60074833374263 9.51905191166287e-10 1.09887598485963e-08
"1552372_at" 1.05432766377476 0.294095142277156 0.374701310360584
"1552373_s_at" -3.37714514546974 0.000963102990327004 0.00311272361221856
"1552375_at" 5.03577799137172 1.69850043097672e-06 1.14897583272541e-05
"1552377_s_at" -1.62638458006492 0.106532931923081 0.161570759564124
"1552378_s_at" -1.15326641070504 0.251369201883498 0.329274658565952
"1552379_at" -0.900747971364385 0.369665592536445 0.452322028037411
"1552381_at" 1.5975388468102 0.112829414470948 0.169492251088125
"1552384_a_at" -2.83242548364 0.00540960380644028 0.0133636457668979
"1552386_at" 5.34100944361265 8.59987391137997e-07 6.20873785060309e-06
"1552388_at" -3.54635149117381 0.000548390869448235 0.00192995834973157
"1552390_a_at" 0.801346505826087 0.424836994540986 0.506628191469089
"1552391_at" -2.50812028121742 0.0134723418729872 0.0287282670084802
"1552393_at" 2.57661799271123 0.0118444352318192 0.0257683391386958
"1552394_a_at" 3.72812439951206 0.0004103029883127 0.00149754853646785
"1552395_at" -2.8071801277789 0.00586531706146934 0.0143133218545261
"1552396_at" -3.64675910806628 0.000400241062754517 0.00146540405608347
"1552398_a_at" 5.57076450749766 2.70639867816747e-07 2.13618714592105e-06
"1552399_a_at" -2.70614758456069 0.00781410291498934 0.0182003881366952
"1552400_a_at" -1.70225108607997 0.0912306835170405 0.141888461414155
"1552401_a_at" 1.66153934600704 0.0990788126897651 0.15198892951629
"1552402_at" -3.46773595571586 0.000729706975560944 0.00245998230194613
"1552405_at" -2.43326738837202 0.0163918763882175 0.0338509640137356
"1552408_at" 0.18724811330705 0.851773138824531 0.884647124358436
"1552409_a_at" -4.46665328496789 1.80877191952511e-05 9.74317236330747e-05
"1552410_at" 0.934421215271965 0.352046882861368 0.434683225102902
"1552411_at" -1.27815658559669 0.203837346934787 0.276800363248399
"1552412_a_at" -2.07518901147535 0.0399934758578356 0.0714485482987019
"1552414_at" -1.75488560142917 0.0818559510324066 0.129648350182498
"1552415_a_at" -2.76732042127757 0.00653438855868573 0.015688118394832
"1552417_a_at" -2.06505028312069 0.0408804187786722 0.0728249130190116
"1552418_at" -5.14720712690644 1.04511339641385e-06 7.40963523979301e-06
"1552419_s_at" -3.39827233360002 0.000939231485356546 0.00304978758690888
"1552421_a_at" -2.85667197026609 0.00499445382937043 0.0124945816145176
"1552424_at" -1.27891117026515 0.203483142140178 0.276412417193816
"1552425_a_at" -0.902604117238031 0.368620543210471 0.451267286607941
"1552426_a_at" 1.17915940002597 0.24046905607334 0.317344646727415
"1552430_at" -0.705511429118421 0.481917910522147 0.562248120925997
"1552432_at" -2.91321235122481 0.0042065814282072 0.0108057955626981
"1552436_a_at" -2.47241607955714 0.0148384017285743 0.0311163969900044
"1552438_a_at" -0.822141370478006 0.412862428515108 0.494955295565526
"1552439_s_at" -1.49736494453276 0.137697756942199 0.200181429835869
"1552440_at" -1.4529005358188 0.149059843113721 0.213868680101247
"1552445_a_at" -1.37718482240939 0.171232415686128 0.239849698423988
"1552448_a_at" -1.92515815558016 0.0564987220690815 0.095451564448926
"1552449_a_at" -2.25045845882024 0.0262205789556383 0.0501784626167176
"1552450_a_at" -1.98030868643786 0.0504593486223348 0.0868824148345532
"1552452_at" -3.62100311869103 0.000452096960698496 0.00163090827014029
"1552453_a_at" -0.996026397447549 0.321238030142933 0.40293226263759
"1552455_at" -4.12903593279792 6.6898046370479e-05 0.000311076266131196
"1552456_a_at" -3.42671352572153 0.000841126881984468 0.00277867055886483
"1552458_at" -0.836435290632375 0.404677180424505 0.486997610276547
"1552459_a_at" -3.09589451218201 0.0024185103874406 0.00677448544645099
"1552461_at" -0.806945117450259 0.421525433222252 0.503423164475116
"1552463_at" -3.49580273219534 0.000656206266813725 0.00224771540639591
"1552466_x_at" -1.84011991517941 0.0684205031972454 0.111919781383728
"1552467_at" -2.79317495374599 0.0060667309544663 0.0147196641480053
"1552468_a_at" -3.10667252246814 0.00248633606793297 0.00693732161811653
"1552470_a_at" -3.1923359187169 0.00180406813824245 0.00528733396965252
"1552472_a_at" -1.00112605727203 0.318965377688081 0.400602531272178
"1552476_s_at" -1.52669722936663 0.129339355782094 0.190022312039148
"1552477_a_at" -3.41575751098471 0.000970352597302434 0.00313182024185726
"1552478_a_at" -4.72253602078371 6.77084461937563e-06 4.02864346989533e-05
"1552480_s_at" 0.0145770902130242 0.988392020761886 0.990848207868715
"1552482_at" -0.314399013783877 0.753781463797897 0.804663389930758
"1552484_at" -3.81909443627703 0.000223306238604027 0.000887524795168266
"1552485_at" 1.98689562900706 0.0495165475598213 0.0855145669572707
"1552486_s_at" 0.539210448952133 0.590705471104204 0.663407452931997
"1552487_a_at" 1.319836124745 0.19088824427978 0.262095542557481
"1552489_s_at" -2.47838581350176 0.0145378070161522 0.0305843259063079
"1552490_at" -3.08209286150509 0.00251332994123053 0.0069998754874854
"1552491_at" -2.68566751028743 0.00835534025484931 0.0192338039532033
"1552493_s_at" -4.04475060581043 8.96031598478418e-05 0.000401711478909677
"1552494_at" -2.38782764190394 0.0188219396232128 0.0380340765629532
"1552496_a_at" -2.44900328517265 0.0160548000521944 0.0332709920289604
"1552498_at" -1.58872424216378 0.114604685961288 0.171711616285651
"1552499_a_at" -2.17608442371407 0.0316301466792576 0.0587029593848623
"1552502_s_at" -7.70317589823953 5.63924999066956e-12 8.72530398660955e-11
"1552503_at" -2.73260936129039 0.00730121669540446 0.0171860540451184
"1552504_a_at" 2.1131382315665 0.0366566449357464 0.0663888806345257
"1552506_at" -4.77709659266957 4.67536918263298e-06 2.88994995792364e-05
"1552507_at" 10.8513055373371 4.81913486458781e-17 1.41341116732376e-15
