"t" "p" "padj"
"1555731_a_at" -2.19668564148818 0.030587385757196 0.0382279898728711
"1555745_a_at" -3.97655607112181 0.000123622084242882 0.000182336619437237
"1555756_a_at" 10.4507361096282 5.62609782820763e-17 1.76507290471022e-16
"1555772_a_at" -4.85714552284121 3.38231096119938e-06 5.42800637483883e-06
"1555778_a_at" 15.6241161887853 1.97944598797328e-31 2.27859534405045e-30
"1555867_at" 2.81141266376139 0.0059173546842027 0.0078369117833169
"1555890_at" -2.65271510424861 0.00896478476463088 0.0117308422860255
"1555938_x_at" 7.28687857577707 3.71759235203518e-10 7.26900880072267e-10
"1555963_x_at" -3.8718627847396 0.000170210190228388 0.000249131741146904
"1555997_s_at" 13.9165752906629 2.8883139866553e-25 1.70077258214203e-24
"1556054_at" -1.00926588310575 0.31475693232002 0.350978050533104
"1556194_a_at" -2.39323404395402 0.0181430355633449 0.0232638085824799
"1556834_at" -4.41171364022207 2.13942299528839e-05 3.27218442136516e-05
"1557049_at" 11.2827553996666 1.84696941307484e-18 6.3830929377372e-18
"1557080_s_at" 10.2514880573105 4.88671346366892e-15 1.30796474001348e-14
"1557257_at" -0.735228918785585 0.463807349440051 0.50029582827748
"1557285_at" 0.300519319963246 0.764298023381817 0.781656829524089
"1557961_s_at" 12.4072858927941 9.46030600875151e-19 3.3683089533485e-18
"1558048_x_at" -0.729105675902384 0.467302424546429 0.503122371294362
"1558217_at" -0.662809716442312 0.508608767728405 0.541125798048776
"1558686_at" 1.45276078646785 0.14879265154585 0.173233117503192
"1558828_s_at" 12.2943662155874 2.93043580202245e-19 1.09694308383774e-18
"1558930_at" 2.40172432373018 0.0183510001905805 0.0235107793236642
"1559410_at" -3.96559540225394 0.000121469817466744 0.000179334899268645
"1559477_s_at" 14.9527582732017 3.42834142359201e-25 1.97322959380427e-24
"1559538_at" -11.3707039297497 4.70332945870844e-21 1.9946807205769e-20
"1559584_a_at" 0.933734965117553 0.352189918981941 0.389597374249531
"1559633_a_at" -0.567237708058803 0.57158438166524 0.598493825205979
"1559826_a_at" -0.724747453721302 0.470139100358084 0.505110850981211
"1559827_at" -1.08302483389187 0.28103942433563 0.315217112569854
"1560263_at" 1.27378335999242 0.205471908029668 0.234584258906355
"1560396_at" 6.87546606998037 1.5669890301325e-09 2.98019901258741e-09
"1561387_a_at" -11.9532085542454 4.34353379222514e-22 1.97915185592163e-21
"1562921_at" -7.92097910044571 8.61492636624282e-13 1.99236439074286e-12
"1565358_at" -0.896518245202846 0.371645753958825 0.408170480136988
"1566465_at" -3.02404820964856 0.00302219201990205 0.00408382699247134
"1566764_at" -1.67399182956463 0.0972939749756529 0.116100604589029
"1567183_s_at" -3.94767088068531 0.000129755990638897 0.000191199635869251
"1568603_at" -8.37909815416884 1.21502099474114e-13 2.96682159959917e-13
"1568604_a_at" -7.8221147122025 4.34477289658658e-12 9.50263900667722e-12
"1568634_a_at" -8.43308802670506 5.52014720232767e-14 1.37868603046716e-13
"1568765_at" 7.34614787166937 1.47895460114655e-10 2.95984247628152e-10
"1569040_s_at" 1.31495331551971 0.19139814925221 0.219006402470204
"1569225_a_at" 0.222928051799254 0.823945418466593 0.836512225246919
"1569433_at" -6.19014420565158 7.06205589530799e-09 1.30579801639089e-08
"1569477_at" 3.46219179053391 0.000777851320630764 0.00109255997420706
"1569532_a_at" -3.77048699958629 0.000253053568811721 0.000363779355728399
"1569582_at" -4.31667235732193 3.10702564009952e-05 4.70045084485411e-05
"1570482_at" 0.677839380737055 0.499202414451376 0.532598534163803
"200930_s_at" 4.79007490580112 1.01513994452427e-05 1.59403000519657e-05
"200952_s_at" -0.663995509767187 0.507855393420656 0.540700005095288
"200986_at" 20.3514517419368 1.63395629026319e-41 1.38977060021831e-39
"201058_s_at" 19.9480908050673 5.3928456779529e-39 2.94873097605211e-37
"201116_s_at" 3.67191728302855 0.000350684576991814 0.00050224329969548
